user_id,article_1,article_2,article_3,article_4,article_5
200000,1,2,3,4,5
200001,1,2,3,4,5
200002,1,2,3,4,5
200003,1,2,3,4,5
200004,1,2,3,4,5
200005,1,2,3,4,5
200006,1,2,3,4,5
200007,1,2,3,4,5
200008,1,2,3,4,5
200009,1,2,3,4,5
200010,1,2,3,4,5
200011,1,2,3,4,5
200012,1,2,3,4,5
200013,1,2,3,4,5
200014,1,2,3,4,5
200015,1,2,3,4,5
200016,1,2,3,4,5
200017,1,2,3,4,5
200018,1,2,3,4,5
200019,1,2,3,4,5
200020,1,2,3,4,5
200021,1,2,3,4,5
200022,1,2,3,4,5
200023,1,2,3,4,5
200024,1,2,3,4,5
200025,1,2,3,4,5
200026,1,2,3,4,5
200027,1,2,3,4,5
200028,1,2,3,4,5
200029,1,2,3,4,5
200030,1,2,3,4,5
200031,1,2,3,4,5
200032,1,2,3,4,5
200033,1,2,3,4,5
200034,1,2,3,4,5
200035,1,2,3,4,5
200036,1,2,3,4,5
200037,1,2,3,4,5
200038,1,2,3,4,5
200039,1,2,3,4,5
200040,1,2,3,4,5
200041,1,2,3,4,5
200042,1,2,3,4,5
200043,1,2,3,4,5
200044,1,2,3,4,5
200045,1,2,3,4,5
200046,1,2,3,4,5
200047,1,2,3,4,5
200048,1,2,3,4,5
200049,1,2,3,4,5
200050,1,2,3,4,5
200051,1,2,3,4,5
200052,1,2,3,4,5
200053,1,2,3,4,5
200054,1,2,3,4,5
200055,1,2,3,4,5
200056,1,2,3,4,5
200057,1,2,3,4,5
200058,1,2,3,4,5
200059,1,2,3,4,5
200060,1,2,3,4,5
200061,1,2,3,4,5
200062,1,2,3,4,5
200063,1,2,3,4,5
200064,1,2,3,4,5
200065,1,2,3,4,5
200066,1,2,3,4,5
200067,1,2,3,4,5
200068,1,2,3,4,5
200069,1,2,3,4,5
200070,1,2,3,4,5
200071,1,2,3,4,5
200072,1,2,3,4,5
200073,1,2,3,4,5
200074,1,2,3,4,5
200075,1,2,3,4,5
200076,1,2,3,4,5
200077,1,2,3,4,5
200078,1,2,3,4,5
200079,1,2,3,4,5
200080,1,2,3,4,5
200081,1,2,3,4,5
200082,1,2,3,4,5
200083,1,2,3,4,5
200084,1,2,3,4,5
200085,1,2,3,4,5
200086,1,2,3,4,5
200087,1,2,3,4,5
200088,1,2,3,4,5
200089,1,2,3,4,5
200090,1,2,3,4,5
200091,1,2,3,4,5
200092,1,2,3,4,5
200093,1,2,3,4,5
200094,1,2,3,4,5
200095,1,2,3,4,5
200096,1,2,3,4,5
200097,1,2,3,4,5
200098,1,2,3,4,5
200099,1,2,3,4,5
200100,1,2,3,4,5
200101,1,2,3,4,5
200102,1,2,3,4,5
200103,1,2,3,4,5
200104,1,2,3,4,5
200105,1,2,3,4,5
200106,1,2,3,4,5
200107,1,2,3,4,5
200108,1,2,3,4,5
200109,1,2,3,4,5
200110,1,2,3,4,5
200111,1,2,3,4,5
200112,1,2,3,4,5
200113,1,2,3,4,5
200114,1,2,3,4,5
200115,1,2,3,4,5
200116,1,2,3,4,5
200117,1,2,3,4,5
200118,1,2,3,4,5
200119,1,2,3,4,5
200120,1,2,3,4,5
200121,1,2,3,4,5
200122,1,2,3,4,5
200123,1,2,3,4,5
200124,1,2,3,4,5
200125,1,2,3,4,5
200126,1,2,3,4,5
200127,1,2,3,4,5
200128,1,2,3,4,5
200129,1,2,3,4,5
200130,1,2,3,4,5
200131,1,2,3,4,5
200132,1,2,3,4,5
200133,1,2,3,4,5
200134,1,2,3,4,5
200135,1,2,3,4,5
200136,1,2,3,4,5
200137,1,2,3,4,5
200138,1,2,3,4,5
200139,1,2,3,4,5
200140,1,2,3,4,5
200141,1,2,3,4,5
200142,1,2,3,4,5
200143,1,2,3,4,5
200144,1,2,3,4,5
200145,1,2,3,4,5
